omc_id,sample_id,non_human_reads
uw00001,s003183fd309e,102642
uw00002,s00cb9e0571c8,133962
uw00003,s01044d01ba04,305533
uw00004,s074b88d137f0,127338
uw00005,s0a2c079b43fa,86777
uw00006,s0d85ca580530,11845
uw00007,s0e3e6d2102fc,302680
uw00008,s0e9c5fff6933,360520
uw00009,s0f8de9a90d23,242740
uw00010,s13549618238b,328654
uw00011,s138914e2c6db,338774
uw00012,s1474f57b7bad,17664
uw00013,s15c2b2096606,558606
uw00014,s16a25389c0b8,144145
uw00015,s17aa640d3681,107883
uw00016,s1aea9d667ed2,25629
uw00017,s1b2cbe642116,7764
uw00018,s1b3d55fafee2,56735
uw00019,s1c2f658c8993,266106
uw00020,s1dec87560f25,74490
uw00021,s1e2a46be3cff,25090
uw00022,s1e49ba4af5c0,428052
uw00023,s1e53f926eb92,103452
uw00024,s1e548944be89,187358
uw00025,s1f6fec0b6dd0,139724
uw00026,s1f8ef060e4a1,157302
uw00027,s21d767cb0e0b,139418
uw00028,s22488e533982,435617
uw00029,s224bae8f3f94,424666
uw00030,s2272a20814cf,317006
uw00031,s236247615217,325745
uw00032,s24ded7f39a4f,25707
uw00033,s253f1f3a6300,254713
uw00034,s287ad93efb07,11581
uw00035,s2905cf48be61,287047
uw00036,s292dab4def27,95908
uw00037,s29d9af204595,293371
uw00038,s29e917a52aa5,328278
uw00039,s2a2bec5aae94,12141
uw00040,s2bd15e6cee95,225250
uw00041,s2cd02b72ae71,15313
uw00042,s2deb0091598f,531648
uw00043,s2eb70eacb555,135916
uw00044,s2fafa0bd6e39,17790
uw00045,s309ee7b6812f,59274
uw00046,s3290ed6120b0,206903
uw00047,s32daf63ecae7,54099
uw00048,s3559a8ea2f5e,21451
uw00049,s3576f0320215,236064
uw00050,s35927f5740df,81011
uw00051,s35d88fd0bf62,154145
uw00052,s36a6d876d797,303690
uw00053,s374e4f5f8b97,433672
uw00054,s37a9a96d5f04,332840
uw00055,s3ad5db6595ad,9657
uw00056,s3b7a84d0259b,216205
uw00057,s3d45723f84e7,10623
uw00058,s3dfe46aa77b4,274153
uw00059,s3e069a1e9627,53092
uw00060,s3e0de555521c,211100
uw00061,s3ebee9587a44,50198
uw00062,s412c273761cd,98348
uw00063,s4132a6e78a9a,78285
uw00064,s41f506b1039e,61720
uw00065,s4315e6000699,118646
uw00066,s43f3d513a4c1,15816
uw00067,s443240d36ed6,328683
uw00068,s44f481ca0971,75998
uw00069,s44fffe4730e7,206828
uw00070,s45395d6971d3,317118
uw00071,s45e3ea4e69cc,199911
uw00072,s483cf989bf6f,17004
uw00073,s498c4ac39a6d,111759
uw00074,s4a1cf9dc5d3d,17125
uw00075,s4cc7a3bdf6fc,116933
uw00076,s4cc7ca589447,277258
uw00077,s4f4655bdb056,107363
uw00078,s4fc04141edb9,192515
uw00079,s4ff2a87d3707,329836
uw00080,s561f25131c41,24082
uw00081,s56ab757beb2a,101270
uw00082,s58fb40036363,129682
uw00083,s594d60e1192a,427224
uw00084,s5a49bda5a8b3,30900
uw00085,s5cc9e07252d2,270913
uw00086,s5cfd42007a66,233396
uw00087,s5faf681269f4,200813
uw00088,s6001d5f112da,22046
uw00089,s60aa9e88abf8,189182
uw00090,s60c45602201d,648026
uw00091,s6251609b9da4,9586
uw00092,s628f97cd516e,234020
uw00093,s639495d256c1,23093
uw00094,s63cccefa56f2,385040
uw00095,s6651ef556750,11510
uw00096,s6709a587107c,300611
uw00097,s69070a96cc2e,90878
uw00098,s697cfa598a67,1548844
uw00099,s69e491e46cb9,200783
uw00100,s6c6488a03889,162091
uw00101,s6c9d579831db,102597
uw00102,s6cc495781a17,22821
uw00103,s6d23e93a7f2c,224318
uw00104,s6da8fc638aea,121092
uw00105,s6e2d119ad5d5,12142
uw00106,s6f08c72d01cb,176387
uw00107,s6fbdec8dadc9,212759
uw00108,s715d0796ed5d,19816
uw00109,s73367fed9e6c,294641
uw00110,s73f5d09bc8ca,13535
uw00111,s74109b64e00f,551843
uw00112,s79f91f850798,16310
uw00113,s7aad12026d14,389272
uw00114,s7ad3a9b0f7d0,375520
uw00115,s7b6b31749c97,29108
uw00116,s7bfe1678ee89,131845
uw00117,s7d0e0cdcd287,115269
uw00118,s7dbc37834601,297913
uw00119,s7e8b054c376e,159522
uw00120,s7eaca8337553,315246
uw00121,s7f8ca7b0028b,238407
uw00122,s7f9f8573ae68,209800
uw00123,s813beacb1f2e,15936
uw00124,s825e46c72c24,266394
uw00125,s841c73c4543b,17102
uw00126,s84f6796c8758,42239
uw00127,s850b516585fa,13451
uw00128,s86772fe873ab,12754
uw00129,s87706e74f271,80536
uw00130,s87dd03e1eec3,24610
uw00131,s87e1089d12bc,63025
uw00132,s8813cec398d0,203309
uw00133,s882e54fd38eb,197678
uw00134,s88f1ad4ca339,333184
uw00135,s8978dd8ce038,19788
uw00136,s8a93d558f266,303731
uw00137,s8b7ec8b3b7c6,102712
uw00138,s8c115eba72a1,59656
uw00139,s8d28224cc965,81258
uw00140,s8ee9b6d47e47,241851
uw00141,s8fcf1dd5cbcc,72040
uw00142,s90195a508dad,223207
uw00143,s914acddea300,206657
uw00144,s918146bf2ed2,126146
uw00145,s919f52a0b7c3,76433
uw00146,s921f1b12c45e,129978
uw00147,s9225909d9633,269949
uw00148,s945679d85a97,110133
uw00149,s94eec686a80c,77799
uw00150,s97f51840e6a2,210132
uw00151,s9c2497f257b1,2469
uw00152,s9cfbff08a43b,11653
uw00153,s9d5160354077,144528
uw00154,s9e2962addb92,337021
uw00155,s9e564137b3ec,31261
uw00156,s9f498603aa99,739050
uw00157,s9ff1a187560a,381085
uw00158,sa015643d0f5d,66077
uw00159,sa02f562aa251,262162
uw00160,sa0d9f8299c90,142465
uw00161,sa27cab909b26,203623
uw00162,sa3a5b3ce2942,143525
uw00163,sa48f1e08b312,297287
uw00164,sa5c86a4c8ad0,301839
uw00165,sa6e068af215f,199661
uw00166,sa72ad555e6d2,15019
uw00167,sa7e113cd309a,216148
uw00168,sa87e2a3dc97e,64941
uw00169,sa90810e50ff9,370035
uw00170,sa9edee451a7f,78016
uw00171,saa9ade306fd5,328574
uw00172,sab2390341759,314023
uw00173,sab40cea39a28,112796
uw00174,sae753782154a,243740
uw00175,sae865aad8106,85134
uw00176,sb3539fa28992,9465
uw00177,sb3db41f3a083,59378
uw00178,sb3eaf85fbad5,128728
uw00179,sb4633df913b0,235749
uw00180,sb533d323dd57,148590
uw00181,sb5e7a651e122,183808
uw00182,sb65df208ac5e,701914
uw00183,sb6a979d6b949,70656
uw00184,sb760994480b2,114765
uw00185,sb850df33abef,19011
uw00186,sb8f39441a92a,12415
uw00187,sb909396bcebb,143401
uw00188,sba2270f5bcde,180313
uw00189,sbb874b4422eb,338988
uw00190,sbbdb4305b69a,68933
uw00191,sbf87c30d194e,8706
uw00192,sc039cfe00a6b,85362
uw00193,sc14a10e4d80f,11995
uw00194,sc1b03b62629c,12973
uw00195,sc27e424bdeda,317823
uw00196,sc2e9f2f3e81a,30175
uw00197,sc3a96b3bcc29,169815
uw00198,sc6e1c706f3bc,34935
uw00199,sc7e964329592,212827
uw00200,sc9a1ac7d57d3,95792
uw00201,scb586461ba29,159426
uw00202,scc8939cd0405,585699
uw00203,scd88443fc500,416129
uw00204,scefa48d14413,76542
uw00205,scf9f7edab48d,128333
uw00206,scfcb57f5b75b,176418
uw00207,scff8a9b130c6,101734
uw00208,sd05947d3c878,12296
uw00209,sd126606eb190,12816
uw00210,sd16a088b5f28,173324
uw00211,sd3967449da03,130799
uw00212,sd427a102396d,254719
uw00213,sd4c473c3151d,342323
uw00214,sd62d91394abb,15593
uw00215,sd6b288471bb6,417759
uw00216,sd6c295b45539,7321
uw00217,sd7e189c925d5,171223
uw00218,sda81ba076f96,133920
uw00219,sdb963fc56292,173820
uw00220,sddc79714fe4d,563818
uw00221,sde9f841a4c70,153202
uw00222,sdf6d06c3555f,118947
uw00223,sdff05837e4da,8115
uw00224,se238271fae30,65738
uw00225,se2401281cb98,23744
uw00226,se38b743b0804,215724
uw00227,se59834ae977a,260703
uw00228,se61bde8ca57c,236894
uw00229,se6347ef300b8,65353
uw00230,se64af195bfa0,134860
uw00231,se81a1b6313fb,17073
uw00232,se9220df5312f,71304
uw00233,sedd2f20459fb,100102
uw00234,sedf73fcc9e67,316060
uw00235,see6ec4b172f3,416300
uw00236,sef32bbf0817e,12838
uw00237,sefe6c03d4ca2,38273
uw00238,sf0478e15eb33,143301
uw00239,sf2564feaacc1,208709
uw00240,sf38adf632438,20096
uw00241,sf63de85e8660,314428
uw00242,sf647808684af,18779
uw00243,sf6a6eb7d9800,139021
uw00244,sf6e4a10dbfb1,13065
uw00245,sf71d1bbe96f5,102184
uw00246,sf7ecff08b48e,22198
uw00247,sf8a4bfa06d0c,13289
uw00248,sfaa1a6a40fd0,496460
uw00249,sfae3832f926b,14335
uw00250,sfcabbf180143,95218
uw00251,sfd7b6454a794,26897
uw00252,sfeab923ccfb8,388864
uw00253,s077882547590,750735
uw00254,s06afdff9c915,259254
uw00255,s05c205d012a8,304369
uw00256,s0315b2ae4997,189506
uw00257,s02f2a2ebedef,19258
uw00258,s024681400ade,356539
