Date,Dataset,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
2025-03-14,10_Zymo_Micro_Prep_CS_010_Right_Eye_S90,Cutibacterium acnes,1747,S,933,6,939,0.05021
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Xanthomonas campestris,339,S,16057,320,16377,0.06707
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Delftia tsuruhatensis,180282,S,14912,3184,18096,0.07411
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Cutibacterium acnes,1747,S,34787,325,35112,0.14381
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Meiothermus silvanus,52022,S,21623,81,21704,0.08889
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Xanthomonas campestris,339,S,20677,403,21080,0.05122
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Delftia tsuruhatensis,180282,S,22593,5165,27758,0.06744
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Cutibacterium acnes,1747,S,54425,467,54892,0.13337
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Meiothermus silvanus,52022,S,26884,98,26982,0.06556
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Malassezia restricta,76775,S,23277,3,23280,0.05656
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Bacillus subtilis,1423,S,159346,1615333,1774679,0.05842
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Bacillus intestinalis,1963032,S,5395,1811887,1817282,0.05982
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Staphylococcus aureus,1280,S,3402565,152948,3555513,0.11705
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Listeria monocytogenes,1639,S,2951130,118588,3069718,0.10105
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Enterococcus faecalis,1351,S,2965385,82027,3047412,0.10032
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Lactobacillus fermentum,1613,S,2891335,60805,2952140,0.09718
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Salmonella enterica,28901,S,2801102,2370365,5171467,0.17024
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Escherichia coli,562,S,827408,3094048,3921456,0.12909
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Pseudomonas aeruginosa,287,S,1318976,2230111,3549087,0.11684
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Bacillus subtilis,1423,S,6829,91511,98340,0.06783
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Staphylococcus aureus,1280,S,161810,8658,170468,0.11757
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Listeria monocytogenes,1639,S,134158,5775,139933,0.09651
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Enterococcus faecalis,1351,S,133748,3981,137729,0.09499
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Lactobacillus fermentum,1613,S,125920,2916,128836,0.08886
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Salmonella enterica,28901,S,119078,109267,228345,0.15749
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Escherichia coli,562,S,36520,139906,176426,0.12168
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Pseudomonas aeruginosa,287,S,57762,103370,161132,0.11113
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Bacillus subtilis,1423,S,9639,110348,119987,0.05498
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Staphylococcus aureus,1280,S,218221,16870,235091,0.10771
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Listeria monocytogenes,1639,S,182888,8216,191104,0.08756
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Enterococcus faecalis,1351,S,185445,5381,190826,0.08743
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Lactobacillus fermentum,1613,S,163341,3806,167147,0.07658
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Salmonella enterica,28901,S,169084,161057,330141,0.15126
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Escherichia coli,562,S,51491,202197,253688,0.11624
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Pseudomonas aeruginosa,287,S,80317,144182,224499,0.10286
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Bacillus intestinalis,1963032,S,16,5109,5125,0.05136
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Staphylococcus aureus,1280,S,10393,559,10952,0.10976
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Listeria monocytogenes,1639,S,8326,365,8691,0.08710
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Enterococcus faecalis,1351,S,8522,222,8744,0.08763
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Lactobacillus fermentum,1613,S,6581,136,6717,0.06732
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Salmonella enterica,28901,S,7100,6018,13118,0.13147
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Escherichia coli,562,S,2219,8531,10750,0.10773
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Xanthomonas campestris,339,S,5652,111,5763,0.05776
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Pseudomonas aeruginosa,287,S,2791,4650,7441,0.07457
2025-03-14,17_Qiagen_Soil_Pro_CS_003_Left_Eye_S1,Xanthomonas campestris,339,S,4668,99,4767,0.12981
2025-03-14,17_Qiagen_Soil_Pro_CS_003_Left_Eye_S1,Salmonella enterica,28901,S,1379,1479,2858,0.07783
2025-03-14,17_Qiagen_Soil_Pro_CS_003_Left_Eye_S1,Escherichia coli,562,S,417,1433,1850,0.05038
2025-03-14,17_Qiagen_Soil_Pro_CS_003_Left_Eye_S1,Staphylococcus aureus,1280,S,1792,281,2073,0.05645
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Bacillus subtilis,1423,S,2711,35349,38060,0.05888
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Staphylococcus aureus,1280,S,65954,3928,69882,0.10810
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Listeria monocytogenes,1639,S,54895,2412,57307,0.08865
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Enterococcus faecalis,1351,S,56077,1764,57841,0.08947
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Lactobacillus fermentum,1613,S,43980,1081,45061,0.06971
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Salmonella enterica,28901,S,43320,40939,84259,0.13034
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Escherichia coli,562,S,13831,54836,68667,0.10622
2025-03-14,18_Qiagen_Soil_Pro_CS_004_Right_Eye_S2,Pseudomonas aeruginosa,287,S,17305,32148,49453,0.07650
2024-07-15,199599_10_S41,Bradyrhizobium sp. SK17,2057741,S,871303,38929,910232,0.18046
2024-07-15,199599_10_S41,Burkholderia contaminans,488447,S,414540,97806,512346,0.10158
2024-07-15,199599_10_S41,Parabacteroides distasonis,823,S,151854,127239,279093,0.05533
2024-07-15,199599_11_S42,Bradyrhizobium sp. SK17,2057741,S,230174,10107,240281,0.22095
2024-07-15,199599_11_S42,Burkholderia contaminans,488447,S,112455,24614,137069,0.12604
2024-07-15,199599_12_S43,Bacillus subtilis,1423,S,716920,7321419,8038339,0.13656
2024-07-15,199599_12_S43,Bacillus intestinalis,1963032,S,19435,6358010,6377445,0.10835
2024-07-15,199599_12_S43,Listeria monocytogenes,1639,S,14408452,643378,15051830,0.25572
2024-07-15,199599_12_S43,Lactobacillus fermentum,1613,S,3871135,90895,3962030,0.06731
2024-07-15,199599_12_S43,Enterococcus faecalis,1351,S,3181096,115610,3296706,0.05601
2024-07-15,199599_12_S43,Salmonella enterica,28901,S,3748730,3666940,7415670,0.12599
2024-07-15,199599_12_S43,Escherichia coli,562,S,1322177,4590738,5912915,0.10046
2024-07-15,199599_12_S43,Pseudomonas aeruginosa,287,S,1450331,2734171,4184502,0.07109
2024-07-15,199599_13_S44,Bacteroides uniformis,820,S,341756,160649,502405,0.07088
2024-07-15,199599_13_S44,Phocaeicola vulgatus,821,S,407633,92623,500256,0.07058
2024-07-15,199599_13_S44,Bradyrhizobium sp. SK17,2057741,S,572574,24428,597002,0.08423
2024-07-15,199599_14_S45,Bacteroides ovatus,28116,S,1821228,400268,2221496,0.13542
2024-07-15,199599_14_S45,Phocaeicola vulgatus,821,S,2643729,409532,3053261,0.18612
2024-07-15,199599_14_S45,Klebsiella pneumoniae,573,S,508813,879414,1388227,0.08462
2024-07-15,199599_14_S45,Bradyrhizobium sp. SK17,2057741,S,809015,34320,843335,0.05141
2024-07-15,199599_15_S46,Faecalibacterium prausnitzii,853,S,1085985,288491,1374476,0.06015
2024-07-15,199599_15_S46,Bacteroides fragilis,817,S,1779106,102768,1881874,0.08236
2024-07-15,199599_15_S46,Bacteroides cellulosilyticus,246787,S,1251313,43445,1294758,0.05667
2024-07-15,199599_16_S47,Salmonella enterica,28901,S,10247213,8814008,19061221,0.28275
2024-07-15,199599_16_S47,Escherichia coli,562,S,3299330,11300432,14599762,0.21657
2024-07-15,199599_16_S47,Pseudomonas aeruginosa,287,S,5544770,9595380,15140150,0.22458
2024-07-15,199599_16_S47,Bacillus subtilis,1423,S,428288,4191360,4619648,0.06853
2024-07-15,199599_16_S47,Bacillus intestinalis,1963032,S,11998,4029339,4041337,0.05995
2024-07-15,199599_17_S27,Bradyrhizobium sp. SK17,2057741,S,831108,35662,866770,0.20457
2024-07-15,199599_17_S27,Burkholderia contaminans,488447,S,399687,78017,477704,0.11275
2024-07-15,199599_18_S28,Bradyrhizobium sp. SK17,2057741,S,2295362,86515,2381877,0.31562
2024-07-15,199599_18_S28,Burkholderia contaminans,488447,S,639328,127786,767114,0.10165
2024-07-15,199599_19_S29,Bradyrhizobium sp. SK17,2057741,S,82347,3825,86172,0.16123
2024-07-15,199599_19_S29,Burkholderia contaminans,488447,S,43926,8185,52111,0.09750
2024-07-15,199599_1_S32,Bradyrhizobium sp. SK17,2057741,S,110584,4771,115355,0.13996
2024-07-15,199599_1_S32,Burkholderia contaminans,488447,S,50453,10329,60782,0.07375
2024-07-15,199599_2_S33,Parabacteroides distasonis,823,S,472887,395011,867898,0.31495
2024-07-15,199599_3_S34,Bradyrhizobium sp. SK17,2057741,S,1332343,56933,1389276,0.14204
2024-07-15,199599_3_S34,Burkholderia contaminans,488447,S,619630,121576,741206,0.07578
2024-07-15,199599_3_S34,Escherichia coli,562,S,303834,548257,852091,0.08712
2024-07-15,199599_4_S35,Salmonella enterica,28901,S,10782990,8829508,19612498,0.25831
2024-07-15,199599_4_S35,Escherichia coli,562,S,3508681,11610753,15119434,0.19913
2024-07-15,199599_4_S35,Pseudomonas aeruginosa,287,S,5716607,9759779,15476386,0.20383
2024-07-15,199599_4_S35,Bacillus subtilis,1423,S,493774,4712224,5205998,0.06857
2024-07-15,199599_4_S35,Bacillus intestinalis,1963032,S,14382,4619080,4633462,0.06102
2024-07-15,199599_5_S36,Salmonella enterica,28901,S,4353511,3757642,8111153,0.28398
2024-07-15,199599_5_S36,Escherichia coli,562,S,1424172,4843728,6267900,0.21944
2024-07-15,199599_5_S36,Pseudomonas aeruginosa,287,S,2300380,4094385,6394765,0.22388
2024-07-15,199599_5_S36,Bacillus subtilis,1423,S,173731,1712649,1886380,0.06604
2024-07-15,199599_5_S36,Bacillus intestinalis,1963032,S,4840,1623472,1628312,0.05701
2024-07-15,199599_6_S37,Bradyrhizobium sp. SK17,2057741,S,101691,4363,106054,0.15671
2024-07-15,199599_6_S37,Burkholderia contaminans,488447,S,49325,9981,59306,0.08763
2024-07-15,199599_6_S37,Parabacteroides distasonis,823,S,25216,21967,47183,0.06972
2024-07-15,199599_7_S38,Bradyrhizobium sp. SK17,2057741,S,1819346,79964,1899310,0.18682
2024-07-15,199599_7_S38,Burkholderia contaminans,488447,S,903442,191906,1095348,0.10774
2024-07-15,199599_8_S39,Salmonella enterica,28901,S,11763539,9923675,21687214,0.27717
2024-07-15,199599_8_S39,Escherichia coli,562,S,3855418,12981311,16836729,0.21518
2024-07-15,199599_8_S39,Pseudomonas aeruginosa,287,S,6315423,10931053,17246476,0.22042
2024-07-15,199599_8_S39,Bacillus subtilis,1423,S,518243,5071923,5590166,0.07144
2024-07-15,199599_8_S39,Bacillus intestinalis,1963032,S,14753,4829732,4844485,0.06191
2024-07-15,199599_9_S40,Bradyrhizobium sp. SK17,2057741,S,120482,5375,125857,0.16892
2024-07-15,199599_9_S40,Burkholderia contaminans,488447,S,56695,12025,68720,0.09223
2025-03-14,1_Zymo_Micro_Prep_CS_001_Left_Eye_S81,Trypanosoma cruzi,5693,S,4442,1101,5543,0.11236
2025-03-14,1_Zymo_Micro_Prep_CS_001_Left_Eye_S81,Cryptosporidium hominis,237895,S,2815,251,3066,0.06215
2025-03-14,1_Zymo_Micro_Prep_CS_001_Left_Eye_S81,Pseudomonas tolaasii,29442,S,1070,2897,3967,0.08041
2025-03-14,1_Zymo_Micro_Prep_CS_001_Left_Eye_S81,Klebsiella pneumoniae,573,S,307,2402,2709,0.05491
2025-03-14,1_Zymo_Micro_Prep_CS_001_Left_Eye_S81,Cutibacterium acnes,1747,S,2816,24,2840,0.05757
2024-03-14,Qiagen_DNeasy_Air_Ctr_3_S10,Rothia mucilaginosa,43675,S,134595,871,135466,0.05536
2024-03-14,Qiagen_DNeasy_Air_Ctr_3_S10,Salmonella enterica,28901,S,37898,117429,155327,0.06347
2024-03-14,Qiagen_DNeasy_Air_Ctr_3_S10,Trypanosoma cruzi,5693,S,160451,44433,204884,0.08373
2024-10-28,Qiagen_Dneasy_CS_001_Air_Swab_S39,Burkholderia contaminans,488447,S,1123920,248332,1372252,0.25224
2024-10-28,Qiagen_Dneasy_CS_001_Air_Swab_S39,Bradyrhizobium sp. SK17,2057741,S,344636,28249,372885,0.06854
2024-10-28,Qiagen_Dneasy_CS_001_Right_Eye_S28,Burkholderia contaminans,488447,S,12306,2268,14574,0.14251
2024-10-28,Qiagen_Dneasy_CS_002_Air_Swab_S62,Staphylococcus aureus,1280,S,180723,58625,239348,0.05428
2024-10-28,Qiagen_Dneasy_CS_002_Air_Swab_S62,Burkholderia contaminans,488447,S,504327,89652,593979,0.13470
2024-10-28,Qiagen_Dneasy_CS_002_Air_Swab_S62,Salmonella enterica,28901,S,107436,144413,251849,0.05711
2024-10-28,Qiagen_Dneasy_CS_002_Left_Eye_S21,Burkholderia contaminans,488447,S,5164,961,6125,0.16370
2024-10-28,Qiagen_Dneasy_CS_003_Air_Swab_S18,Burkholderia contaminans,488447,S,1281360,256314,1537674,0.25203
2024-10-28,Qiagen_Dneasy_CS_003_Air_Swab_S18,Bradyrhizobium sp. SK17,2057741,S,369245,33353,402598,0.06599
2024-10-28,Qiagen_Dneasy_CS_003_Right_Eye_S58,Burkholderia contaminans,488447,S,5906,940,6846,0.14528
2024-10-28,Qiagen_Dneasy_CS_003_Right_Eye_S58,Salmonella enterica,28901,S,1120,1800,2920,0.06197
2024-10-28,Qiagen_Dneasy_CS_004_Air_Swab_S52,Burkholderia contaminans,488447,S,341564,76318,417882,0.22356
2024-10-28,Qiagen_Dneasy_CS_004_Air_Swab_S52,Bradyrhizobium sp. SK17,2057741,S,105668,9346,115014,0.06153
2025-03-14,22_Qiagen_Soil_Pro_CS_008_Right_Eye_S6,Cutibacterium acnes,1747,S,541,4,545,0.05220
2025-03-14,25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,Staphylococcus aureus,1280,S,26122,2094,28216,0.08522
2025-03-14,25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,Listeria monocytogenes,1639,S,25362,1141,26503,0.08004
2025-03-14,25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,Enterococcus faecalis,1351,S,23969,881,24850,0.07505
2025-03-14,25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,Lactobacillus fermentum,1613,S,21746,528,22274,0.06727
2025-03-14,25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,Salmonella enterica,28901,S,20812,20669,41481,0.12528
2025-03-14,25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,Escherichia coli,562,S,6241,25410,31651,0.09559
2025-03-14,25_Qiagen_Soil_Pro_CS_007_Air_Swab_S9,Pseudomonas aeruginosa,287,S,11946,21886,33832,0.10218
2025-03-14,26_Qiagen_Soil_Pro_CS_010_Air_Swab_S10,Xanthomonas campestris,339,S,16749,471,17220,0.14660
2025-03-14,26_Qiagen_Soil_Pro_CS_010_Air_Swab_S10,Delftia tsuruhatensis,180282,S,7207,1718,8925,0.07598
2025-03-14,26_Qiagen_Soil_Pro_CS_010_Air_Swab_S10,Cutibacterium acnes,1747,S,22954,189,23143,0.19702
2025-03-14,27_Qiagen_Soil_Pro_MCS_OMR_BD801_S11,Salmonella enterica,28901,S,3085820,2679241,5765061,0.27666
2025-03-14,27_Qiagen_Soil_Pro_MCS_OMR_BD801_S11,Escherichia coli,562,S,879718,3433556,4313274,0.20699
2025-03-14,27_Qiagen_Soil_Pro_MCS_OMR_BD801_S11,Pseudomonas aeruginosa,287,S,1719977,2964512,4684489,0.22481
2025-03-14,27_Qiagen_Soil_Pro_MCS_OMR_BD801_S11,Bacillus subtilis,1423,S,108920,1129233,1238153,0.05942
2025-03-14,27_Qiagen_Soil_Pro_MCS_OMR_BD801_S11,Bacillus intestinalis,1963032,S,3616,1238551,1242167,0.05961
2025-03-14,28_Qiagen_Soil_Pro_OMR_BD801_S12,Salmonella enterica,28901,S,146273,141468,287741,0.24345
2025-03-14,28_Qiagen_Soil_Pro_OMR_BD801_S12,Escherichia coli,562,S,43460,174244,217704,0.18419
2025-03-14,28_Qiagen_Soil_Pro_OMR_BD801_S12,Pseudomonas aeruginosa,287,S,103230,193039,296269,0.25067
2025-03-14,28_Qiagen_Soil_Pro_OMR_BD801_S12,Bacillus subtilis,1423,S,5134,60721,65855,0.05572
2025-03-14,29_Z_Mini_049_Conj_L_1_S13,Salmonella enterica,28901,S,3925,4014,7939,0.14426
2025-03-14,29_Z_Mini_049_Conj_L_1_S13,Escherichia coli,562,S,1181,5331,6512,0.11833
2025-03-14,29_Z_Mini_049_Conj_L_1_S13,Pseudomonas aeruginosa,287,S,2875,4978,7853,0.14270
2025-03-14,31_Z_Mini_049_Skin_L_1_S15,Cutibacterium acnes,1747,S,91712,762,92474,0.42750
2025-03-14,32_Z_Mini_049_Conj_L_2_S16,Salmonella enterica,28901,S,532,1068,1600,0.05140
2025-03-14,32_Z_Mini_049_Conj_L_2_S16,Cutibacterium acnes,1747,S,3158,26,3184,0.10229
2025-03-14,33_Z_Mini_049_Lid_L_2_S17,Cutibacterium acnes,1747,S,53832,496,54328,0.62661
2025-03-14,34_Z_Mini_049_Skin_L_2_S18,Cutibacterium acnes,1747,S,896170,7835,904005,0.70735
2025-03-14,36_Z_Mini_049_Lid_L_3_S20,Cutibacterium acnes,1747,S,35356,366,35722,0.47903
2025-03-14,36_Z_Mini_049_Lid_L_3_S20,Staphylococcus hominis,1290,S,6661,351,7012,0.09403
